Doctor_ID,Doctor_Name,Gender,Department_ID,Department_Name,Specialization,Experience_Years,Qualification,Consultation_Fee,Email,Phone
DR001,Dr1,Male,D001,Cardiology,Cardiologist,2,MBBS DM,1063,dr001@medicare.com,9362950628
DR002,Dr2,Male,D002,Neurology,Neurologist,6,MBBS DM,709,dr002@medicare.com,9826600539
DR003,Dr3,Male,D003,Orthopedics,Orthopedic Surgeon,20,MBBS MS,565,dr003@medicare.com,9131994523
DR004,Dr4,Male,D004,Pediatrics,Pediatrician,8,MBBS MD,1534,dr004@medicare.com,9746412689
DR005,Dr5,Male,D005,Oncology,Oncologist,19,MBBS MD,1966,dr005@medicare.com,9797808098
DR006,Dr6,Female,D006,General Medicine,Physician,9,MBBS MS,1706,dr006@medicare.com,9398704996
DR007,Dr7,Male,D007,Emergency,Emergency Specialist,7,MBBS DM,1365,dr007@medicare.com,9465341213
DR008,Dr8,Female,D008,Pulmonology,Pulmonologist,6,MBBS MD,1189,dr008@medicare.com,9209747451
DR009,Dr9,Male,D009,Nephrology,Nephrologist,14,MBBS MD,1235,dr009@medicare.com,9469319644
DR010,Dr10,Female,D010,Gastroenterology,Gastroenterologist,3,MBBS DM,1440,dr010@medicare.com,9675770529
DR011,Dr11,Male,D001,Cardiology,Cardiologist,14,MBBS MD,1630,dr011@medicare.com,9414797776
DR012,Dr12,Female,D002,Neurology,Neurologist,20,MBBS MD,1942,dr012@medicare.com,9174684276
DR013,Dr13,Male,D003,Orthopedics,Orthopedic Surgeon,23,MBBS MD,1092,dr013@medicare.com,9185675980
DR014,Dr14,Male,D004,Pediatrics,Pediatrician,5,MBBS MS,1069,dr014@medicare.com,9586845604
DR015,Dr15,Female,D005,Oncology,Oncologist,7,MBBS MS,1227,dr015@medicare.com,9324956459
DR016,Dr16,Female,D006,General Medicine,Physician,24,MBBS DM,1827,dr016@medicare.com,9176667861
DR017,Dr17,Male,D007,Emergency,Emergency Specialist,19,MBBS DM,1001,dr017@medicare.com,9275452091
DR018,Dr18,Female,D008,Pulmonology,Pulmonologist,14,MBBS MS,1810,dr018@medicare.com,9838908273
